Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.100453,469033600
1980-12-15,0.122210,0.122210,0.121652,0.121652,0.095213,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.088224,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.090408,86441600
1980-12-18,0.118862,0.119420,0.118862,0.118862,0.093029,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098707,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.103511,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.107879,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.113556,48003200
1980-12-26,0.158482,0.159040,0.158482,0.158482,0.124038,55574400
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.125785,93161600
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.122728,68880000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.119234,35750400
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.120545,21660800
1981-01-05,0.151228,0.151228,0.150670,0.150670,0.117924,35728000
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.112683,45158400
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.107879,55686400
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.105695,39827200
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.111372,21504000
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.110499,23699200
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.106568,23049600
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.107005,14291200
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.109189,14067200
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.108315,13395200
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.114866,41574400
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.111372,30083200
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.113556,15904000
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.114866,35548800
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.114430,11222400
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.112683,24640000
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.111809,23699200
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.108315,28156800
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.104385,43904000
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098707,46188800
1981-02-02,0.119420,0.119420,0.118862,0.118862,0.093029,23766400
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.096523,19152000
1981-02-04,0.127790,0.128348,0.127790,0.127790,0.100017,27865600
1981-02-05,0.127790,0.128906,0.127790,0.127790,0.100017,7929600
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.100453,13865600
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.095213,16755200
1981-02-10,0.121652,0.122210,0.121652,0.121652,0.095213,18345600
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.092156,13843200
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.091281,14560000
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.089098,11155200
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.091281,12275200
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.095213,19241600
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.089535,22310400
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.084731,24371200
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.086041,14112000
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.082984,16979200
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.088224,19488000
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.089535,10841600
1981-02-27,0.118304,0.119420,0.118304,0.118304,0.092592,14761600
